lineup_ids,lineup_names,MINUTES
203145-203473-1628989-1629016-1629027,K. Bazemore-D. Dedmon-K. Huerter-O. Spellman-T. Young,12.0
1713-203145-1627761-1627816-1629121,V. Carter-K. Bazemore-D. Bembry-A. Poythress-J. Adams,12.0
1713-203145-203473-1627761-1629121,V. Carter-K. Bazemore-D. Dedmon-D. Bembry-J. Adams,12.0
1713-203145-203473-1627761-1629027,V. Carter-K. Bazemore-D. Dedmon-D. Bembry-T. Young,12.0
1713-1627752-1628989-1629016-1629027,V. Carter-T. Prince-K. Huerter-O. Spellman-T. Young,12.0
203458-203473-1627752-1628989-1629027,A. Len-D. Dedmon-T. Prince-K. Huerter-T. Young,11.0
203458-1627752-1628989-1629121-1629353,A. Len-T. Prince-K. Huerter-J. Adams-I. Humphries,11.0
202391-203458-1626147-1627761-1629016,J. Lin-A. Len-J. Anderson-D. Bembry-O. Spellman,11.0
1713-203473-1627752-1628989-1629027,V. Carter-D. Dedmon-T. Prince-K. Huerter-T. Young,11.0
1713-202391-203145-1627761-1628381,V. Carter-J. Lin-K. Bazemore-D. Bembry-J. Collins,11.0
202391-203145-203458-1627761-1628381,J. Lin-K. Bazemore-A. Len-D. Bembry-J. Collins,10.0
203145-203458-1627761-1627816-1629027,K. Bazemore-A. Len-D. Bembry-A. Poythress-T. Young,10.0
1713-202391-203473-1627752-1627761,V. Carter-J. Lin-D. Dedmon-T. Prince-D. Bembry,10.0
1713-203145-203458-1627761-1629016,V. Carter-K. Bazemore-A. Len-D. Bembry-O. Spellman,10.0
1713-203145-203458-1627752-1627761,V. Carter-K. Bazemore-A. Len-T. Prince-D. Bembry,10.0
1713-203145-1627761-1628381-1629121,V. Carter-K. Bazemore-D. Bembry-J. Collins-J. Adams,10.0
203473-1626147-1627761-1628381-1629027,D. Dedmon-J. Anderson-D. Bembry-J. Collins-T. Young,9.0
202391-203458-1627761-1628989-1629016,J. Lin-A. Len-D. Bembry-K. Huerter-O. Spellman,9.0
202391-203458-1626147-1627772-1629016,J. Lin-A. Len-J. Anderson-D. Hamilton-O. Spellman,9.0
202391-203458-1627752-1628381-1629027,J. Lin-A. Len-T. Prince-J. Collins-T. Young,9.0
202391-203473-1627752-1627761-1629016,J. Lin-D. Dedmon-T. Prince-D. Bembry-O. Spellman,9.0
202391-203145-203458-1628381-1628989,J. Lin-K. Bazemore-A. Len-J. Collins-K. Huerter,9.0
202391-203145-203458-1627752-1627816,J. Lin-K. Bazemore-A. Len-T. Prince-A. Poythress,9.0
203145-203458-1627816-1628989-1629027,K. Bazemore-A. Len-A. Poythress-K. Huerter-T. Young,9.0
1713-203145-203473-1627761-1628989,V. Carter-K. Bazemore-D. Dedmon-D. Bembry-K. Huerter,9.0
1713-203145-1626147-1627738-1627761,V. Carter-K. Bazemore-J. Anderson-D. Davis-D. Bembry,9.0
1713-203145-1628381-1628989-1629027,V. Carter-K. Bazemore-J. Collins-K. Huerter-T. Young,9.0
202391-203458-1627752-1628989-1629016,J. Lin-A. Len-T. Prince-K. Huerter-O. Spellman,8.0
202391-203458-1627752-1628416-1629016,J. Lin-A. Len-T. Prince-T. Dorsey-O. Spellman,8.0
202391-203473-1627761-1628381-1628416,J. Lin-D. Dedmon-D. Bembry-J. Collins-T. Dorsey,8.0
202391-203473-1627752-1628989-1629016,J. Lin-D. Dedmon-T. Prince-K. Huerter-O. Spellman,8.0
202391-203145-203473-1627761-1628381,J. Lin-K. Bazemore-D. Dedmon-D. Bembry-J. Collins,8.0
203145-203458-1627761-1628381-1629121,K. Bazemore-A. Len-D. Bembry-J. Collins-J. Adams,8.0
203145-203458-1626147-1627761-1629121,K. Bazemore-A. Len-J. Anderson-D. Bembry-J. Adams,8.0
