lineup_ids,lineup_names,MINUTES
201567-202688-203903-1627790-1629012,K. Love-B. Knight-J. Clarkson-A. Zizic-C. Sexton,0.0
201567-202688-203903-1626224-1629012,K. Love-B. Knight-J. Clarkson-C. Osman-C. Sexton,0.0
201567-202688-203903-203917-1628021,K. Love-B. Knight-J. Clarkson-N. Stauskas-D. Nwaba,0.0
201567-202688-1626204-1627790-1628021,K. Love-B. Knight-L. Nance Jr.-A. Zizic-D. Nwaba,0.0
201567-202688-203521-203917-1628021,K. Love-B. Knight-M. Dellavedova-N. Stauskas-D. Nwaba,0.0
201567-202688-203917-1626224-1627790,K. Love-B. Knight-N. Stauskas-C. Osman-A. Zizic,0.0
201567-202688-203917-1626224-1627737,K. Love-B. Knight-N. Stauskas-C. Osman-M. Chriss,0.0
201567-202688-203917-1626204-1628021,K. Love-B. Knight-N. Stauskas-L. Nance Jr.-D. Nwaba,0.0
201567-1626224-1627737-1627790-1629012,K. Love-C. Osman-M. Chriss-A. Zizic-C. Sexton,0.0
201567-201588-1626224-1627790-1629012,K. Love-G. Hill-C. Osman-A. Zizic-C. Sexton,0.0
201567-201588-203903-1626204-1626224,K. Love-G. Hill-J. Clarkson-L. Nance Jr.-C. Osman,0.0
201567-201588-203903-1626155-1626224,K. Love-G. Hill-J. Clarkson-S. Dekker-C. Osman,0.0
201567-201588-1626204-1626224-1629012,K. Love-G. Hill-L. Nance Jr.-C. Osman-C. Sexton,0.0
201567-201588-203918-1626155-1626204,K. Love-G. Hill-R. Hood-S. Dekker-L. Nance Jr.,0.0
201567-201588-202684-1626224-1627790,K. Love-G. Hill-T. Thompson-C. Osman-A. Zizic,0.0
201567-201588-202684-1626204-1626224,K. Love-G. Hill-T. Thompson-L. Nance Jr.-C. Osman,0.0
201567-201588-202684-203918-1626204,K. Love-G. Hill-T. Thompson-R. Hood-L. Nance Jr.,0.0
201567-203903-203917-1626224-1627790,K. Love-J. Clarkson-N. Stauskas-C. Osman-A. Zizic,0.0
201567-203903-203918-1626155-1626224,K. Love-J. Clarkson-R. Hood-S. Dekker-C. Osman,0.0
201567-203521-1626224-1627790-1629012,K. Love-M. Dellavedova-C. Osman-A. Zizic-C. Sexton,0.0
201567-203521-1626224-1628021-1629012,K. Love-M. Dellavedova-C. Osman-D. Nwaba-C. Sexton,0.0
201567-203521-203903-1626224-1629012,K. Love-M. Dellavedova-J. Clarkson-C. Osman-C. Sexton,0.0
201567-203521-203903-1626204-1627790,K. Love-M. Dellavedova-J. Clarkson-L. Nance Jr.-A. Zizic,0.0
201567-203521-203903-203917-1626224,K. Love-M. Dellavedova-J. Clarkson-N. Stauskas-C. Osman,0.0
201567-203521-203903-203917-1629012,K. Love-M. Dellavedova-J. Clarkson-N. Stauskas-C. Sexton,0.0
201567-203521-1626204-1626224-1629012,K. Love-M. Dellavedova-L. Nance Jr.-C. Osman-C. Sexton,0.0
201567-203521-1626204-1629012-1629061,K. Love-M. Dellavedova-L. Nance Jr.-C. Sexton-D. Adel,0.0
201567-203521-1627737-1628021-1629012,K. Love-M. Dellavedova-M. Chriss-D. Nwaba-C. Sexton,0.0
201567-203521-203917-1627790-1628021,K. Love-M. Dellavedova-N. Stauskas-A. Zizic-D. Nwaba,0.0
201567-203521-203917-1626204-1626224,K. Love-M. Dellavedova-N. Stauskas-L. Nance Jr.-C. Osman,0.0
201567-203917-1626224-1628021-1629012,K. Love-N. Stauskas-C. Osman-D. Nwaba-C. Sexton,0.0
201567-203918-1626204-1626224-1629012,K. Love-R. Hood-L. Nance Jr.-C. Osman-C. Sexton,0.0
201567-202684-202688-1626224-1628021,K. Love-T. Thompson-B. Knight-C. Osman-D. Nwaba,0.0
201567-202684-203903-1626204-1629012,K. Love-T. Thompson-J. Clarkson-L. Nance Jr.-C. Sexton,0.0
201567-202684-203903-1626155-1626224,K. Love-T. Thompson-J. Clarkson-S. Dekker-C. Osman,0.0
201567-202684-1626204-1626224-1629012,K. Love-T. Thompson-L. Nance Jr.-C. Osman-C. Sexton,0.0
1626204-1626224-1627790-1628021-1629012,L. Nance Jr.-C. Osman-A. Zizic-D. Nwaba-C. Sexton,0.0
1626204-1626224-1627790-1628417-1629012,L. Nance Jr.-C. Osman-A. Zizic-J. Blossomgame-C. Sexton,0.0
203521-203903-1626224-1627790-1627883,M. Dellavedova-J. Clarkson-C. Osman-A. Zizic-J. Jones,0.0
203521-203903-1626224-1627737-1627790,M. Dellavedova-J. Clarkson-C. Osman-M. Chriss-A. Zizic,0.0
203521-203903-1626166-1628417-1629012,M. Dellavedova-J. Clarkson-C. Payne-J. Blossomgame-C. Sexton,0.0
203521-203903-1626204-1627790-1629012,M. Dellavedova-J. Clarkson-L. Nance Jr.-A. Zizic-C. Sexton,0.0
203521-203903-1626204-1626224-1627790,M. Dellavedova-J. Clarkson-L. Nance Jr.-C. Osman-A. Zizic,0.0
203521-203903-1626204-1626224-1627775,M. Dellavedova-J. Clarkson-L. Nance Jr.-C. Osman-P. McCaw,0.0
203521-203903-1626204-1629012-1629061,M. Dellavedova-J. Clarkson-L. Nance Jr.-C. Sexton-D. Adel,0.0
203521-203903-1627737-1627790-1628021,M. Dellavedova-J. Clarkson-M. Chriss-A. Zizic-D. Nwaba,0.0
203521-203903-203917-1629012-1629061,M. Dellavedova-J. Clarkson-N. Stauskas-C. Sexton-D. Adel,0.0
203521-203903-203917-1628021-1629012,M. Dellavedova-J. Clarkson-N. Stauskas-D. Nwaba-C. Sexton,0.0
203521-203903-203918-1626204-1629012,M. Dellavedova-J. Clarkson-R. Hood-L. Nance Jr.-C. Sexton,0.0
203521-203903-203918-1626204-1627775,M. Dellavedova-J. Clarkson-R. Hood-L. Nance Jr.-P. McCaw,0.0
203521-1626204-1626224-1628021-1629012,M. Dellavedova-L. Nance Jr.-C. Osman-D. Nwaba-C. Sexton,0.0
203521-1626204-1627737-1628021-1629012,M. Dellavedova-L. Nance Jr.-M. Chriss-D. Nwaba-C. Sexton,0.0
203521-203918-1626224-1627790-1629012,M. Dellavedova-R. Hood-C. Osman-A. Zizic-C. Sexton,0.0
203521-203918-1626166-1627790-1628417,M. Dellavedova-R. Hood-C. Payne-A. Zizic-J. Blossomgame,0.0
203521-203918-1626204-1626224-1627790,M. Dellavedova-R. Hood-L. Nance Jr.-C. Osman-A. Zizic,0.0
203918-1626150-1626224-1628021-1629012,R. Hood-A. Harrison-C. Osman-D. Nwaba-C. Sexton,0.0
203918-1626150-1626204-1627790-1628021,R. Hood-A. Harrison-L. Nance Jr.-A. Zizic-D. Nwaba,0.0
203918-1626224-1627790-1628417-1629012,R. Hood-C. Osman-A. Zizic-J. Blossomgame-C. Sexton,0.0
203918-1626166-1626224-1628417-1629012,R. Hood-C. Payne-C. Osman-J. Blossomgame-C. Sexton,0.0
203918-1626204-1626224-1627790-1629012,R. Hood-L. Nance Jr.-C. Osman-A. Zizic-C. Sexton,0.0
203918-1626155-1626204-1626224-1629012,R. Hood-S. Dekker-L. Nance Jr.-C. Osman-C. Sexton,0.0
202684-202692-1627790-1627883-1629012,T. Thompson-A. Burks-A. Zizic-J. Jones-C. Sexton,0.0
202684-202692-203903-1627790-1627883,T. Thompson-A. Burks-J. Clarkson-A. Zizic-J. Jones,0.0
202684-202692-203903-1626224-1627790,T. Thompson-A. Burks-J. Clarkson-C. Osman-A. Zizic,0.0
202684-202692-203903-1626204-1628417,T. Thompson-A. Burks-J. Clarkson-L. Nance Jr.-J. Blossomgame,0.0
202684-202692-203903-203918-1628417,T. Thompson-A. Burks-J. Clarkson-R. Hood-J. Blossomgame,0.0
202684-202692-1626204-1627775-1629012,T. Thompson-A. Burks-L. Nance Jr.-P. McCaw-C. Sexton,0.0
202684-202692-203521-1626224-1629012,T. Thompson-A. Burks-M. Dellavedova-C. Osman-C. Sexton,0.0
202684-202692-203521-203903-1627790,T. Thompson-A. Burks-M. Dellavedova-J. Clarkson-A. Zizic,0.0
202684-202688-203903-1626224-1629012,T. Thompson-B. Knight-J. Clarkson-C. Osman-C. Sexton,0.0
202684-202688-203903-1626224-1627737,T. Thompson-B. Knight-J. Clarkson-C. Osman-M. Chriss,0.0
202684-202688-203903-1626204-1629012,T. Thompson-B. Knight-J. Clarkson-L. Nance Jr.-C. Sexton,0.0
202684-202688-1626204-1628021-1629012,T. Thompson-B. Knight-L. Nance Jr.-D. Nwaba-C. Sexton,0.0
202684-203903-1627790-1627883-1629012,T. Thompson-J. Clarkson-A. Zizic-J. Jones-C. Sexton,0.0
202684-203903-1626224-1627790-1629012,T. Thompson-J. Clarkson-C. Osman-A. Zizic-C. Sexton,0.0
202684-203903-1626166-1627790-1627883,T. Thompson-J. Clarkson-C. Payne-A. Zizic-J. Jones,0.0
202684-203903-1626204-1627790-1629012,T. Thompson-J. Clarkson-L. Nance Jr.-A. Zizic-C. Sexton,0.0
202684-203903-1626204-1626224-1627775,T. Thompson-J. Clarkson-L. Nance Jr.-C. Osman-P. McCaw,0.0
202684-203903-203917-1626204-1626224,T. Thompson-J. Clarkson-N. Stauskas-L. Nance Jr.-C. Osman,0.0
202684-203903-203918-1626150-1628021,T. Thompson-J. Clarkson-R. Hood-A. Harrison-D. Nwaba,0.0
202684-203903-203918-1626150-1626204,T. Thompson-J. Clarkson-R. Hood-A. Harrison-L. Nance Jr.,0.0
202684-203903-1626155-1626204-1629012,T. Thompson-J. Clarkson-S. Dekker-L. Nance Jr.-C. Sexton,0.0
202684-1626204-1626224-1628021-1629012,T. Thompson-L. Nance Jr.-C. Osman-D. Nwaba-C. Sexton,0.0
202684-1626204-1626224-1627775-1629012,T. Thompson-L. Nance Jr.-C. Osman-P. McCaw-C. Sexton,0.0
202684-203521-203903-1626166-1627790,T. Thompson-M. Dellavedova-J. Clarkson-C. Payne-A. Zizic,0.0
202684-203521-203903-1626166-1628417,T. Thompson-M. Dellavedova-J. Clarkson-C. Payne-J. Blossomgame,0.0
202684-203521-203903-1628417-1629012,T. Thompson-M. Dellavedova-J. Clarkson-J. Blossomgame-C. Sexton,0.0
202684-203521-203903-1627883-1628417,T. Thompson-M. Dellavedova-J. Clarkson-J. Jones-J. Blossomgame,0.0
202684-203521-203918-1626166-1626224,T. Thompson-M. Dellavedova-R. Hood-C. Payne-C. Osman,0.0
202684-203918-1626150-1626224-1629012,T. Thompson-R. Hood-A. Harrison-C. Osman-C. Sexton,0.0
202684-203918-1626150-1626204-1626224,T. Thompson-R. Hood-A. Harrison-L. Nance Jr.-C. Osman,0.0
202684-203918-1626204-1628021-1629012,T. Thompson-R. Hood-L. Nance Jr.-D. Nwaba-C. Sexton,0.0
202684-1626155-1626224-1628021-1629012,T. Thompson-S. Dekker-C. Osman-D. Nwaba-C. Sexton,0.0
202684-1626155-1626204-1626224-1629012,T. Thompson-S. Dekker-L. Nance Jr.-C. Osman-C. Sexton,0.0
201599-202083-203084-1628372-1629029,D. Jordan-W. Matthews-H. Barnes-D. Smith Jr.-L. Doncic,412.0
201599-202083-203084-1628973-1629029,D. Jordan-W. Matthews-H. Barnes-J. Brunson-L. Doncic,197.0
201599-203084-1627827-1628372-1629029,D. Jordan-H. Barnes-D. Finney-Smith-D. Smith Jr.-L. Doncic,134.0
2734-200826-203939-1627827-1628467,D. Harris-J. Barea-D. Powell-D. Finney-Smith-M. Kleber,108.0
201599-202083-203084-1628467-1629029,D. Jordan-W. Matthews-H. Barnes-M. Kleber-L. Doncic,105.0
201599-202083-1627827-1628372-1629029,D. Jordan-W. Matthews-D. Finney-Smith-D. Smith Jr.-L. Doncic,81.0
1717-2734-200826-203939-1627827,D. Nowitzki-D. Harris-J. Barea-D. Powell-D. Finney-Smith,77.0
1717-203501-203939-1628973-1629029,D. Nowitzki-T. Hardaway Jr.-D. Powell-J. Brunson-L. Doncic,64.0
203501-203939-1627827-1628973-1629029,T. Hardaway Jr.-D. Powell-D. Finney-Smith-J. Brunson-L. Doncic,62.0
201599-202083-203084-1627827-1629029,D. Jordan-W. Matthews-H. Barnes-D. Finney-Smith-L. Doncic,60.0
201599-203084-1628372-1628467-1629029,D. Jordan-H. Barnes-D. Smith Jr.-M. Kleber-L. Doncic,57.0
203501-1627827-1628467-1628973-1629029,T. Hardaway Jr.-D. Finney-Smith-M. Kleber-J. Brunson-L. Doncic,55.0
201599-202083-203084-1627827-1628372,D. Jordan-W. Matthews-H. Barnes-D. Finney-Smith-D. Smith Jr.,54.0
200826-201599-203084-1627827-1629029,J. Barea-D. Jordan-H. Barnes-D. Finney-Smith-L. Doncic,48.0
203939-1628382-1628467-1628973-1629029,D. Powell-J. Jackson-M. Kleber-J. Brunson-L. Doncic,41.0
200826-201599-202083-203084-1629029,J. Barea-D. Jordan-W. Matthews-H. Barnes-L. Doncic,41.0
1717-201584-203939-1628382-1628973,D. Nowitzki-C. Lee-D. Powell-J. Jackson-J. Brunson,40.0
1717-203939-1628382-1628973-1629029,D. Nowitzki-D. Powell-J. Jackson-J. Brunson-L. Doncic,40.0
200826-203939-1627827-1628467-1628973,J. Barea-D. Powell-D. Finney-Smith-M. Kleber-J. Brunson,33.0
203939-1627827-1628467-1628973-1629029,D. Powell-D. Finney-Smith-M. Kleber-J. Brunson-L. Doncic,32.0
203084-1627827-1628467-1628973-1629029,H. Barnes-D. Finney-Smith-M. Kleber-J. Brunson-L. Doncic,32.0
203501-203939-1627827-1628467-1628973,T. Hardaway Jr.-D. Powell-D. Finney-Smith-M. Kleber-J. Brunson,31.0
1717-2734-203504-203939-1629151,D. Nowitzki-D. Harris-T. Burke-D. Powell-R. Broekhoff,30.0
200826-202083-203939-1627827-1628467,J. Barea-W. Matthews-D. Powell-D. Finney-Smith-M. Kleber,30.0
201599-203084-1627827-1628973-1629029,D. Jordan-H. Barnes-D. Finney-Smith-J. Brunson-L. Doncic,29.0
1717-2734-203939-1628382-1629029,D. Nowitzki-D. Harris-D. Powell-J. Jackson-L. Doncic,29.0
203501-203939-1628467-1628973-1629029,T. Hardaway Jr.-D. Powell-M. Kleber-J. Brunson-L. Doncic,29.0
203501-1626257-1627827-1628467-1628973,T. Hardaway Jr.-S. Mejri-D. Finney-Smith-M. Kleber-J. Brunson,29.0
1717-2734-203939-1627827-1629029,D. Nowitzki-D. Harris-D. Powell-D. Finney-Smith-L. Doncic,27.0
2734-200826-202083-203939-1627827,D. Harris-J. Barea-W. Matthews-D. Powell-D. Finney-Smith,26.0
2734-203939-1627827-1628467-1628973,D. Harris-D. Powell-D. Finney-Smith-M. Kleber-J. Brunson,25.0
200826-202083-203939-1628467-1628973,J. Barea-W. Matthews-D. Powell-M. Kleber-J. Brunson,25.0
2734-203939-1627827-1628467-1629029,D. Harris-D. Powell-D. Finney-Smith-M. Kleber-L. Doncic,23.0
1717-2734-203939-1627827-1628973,D. Nowitzki-D. Harris-D. Powell-D. Finney-Smith-J. Brunson,23.0
1717-2734-203939-1628382-1628973,D. Nowitzki-D. Harris-D. Powell-J. Jackson-J. Brunson,23.0
1717-2734-203504-203939-1628382,D. Nowitzki-D. Harris-T. Burke-D. Powell-J. Jackson,23.0
1717-203939-1627827-1628973-1629029,D. Nowitzki-D. Powell-D. Finney-Smith-J. Brunson-L. Doncic,23.0
2734-200826-203084-203939-1627827,D. Harris-J. Barea-H. Barnes-D. Powell-D. Finney-Smith,22.0
201599-202083-203084-1627827-1628973,D. Jordan-W. Matthews-H. Barnes-D. Finney-Smith-J. Brunson,22.0
1717-203501-203939-1627827-1628973,D. Nowitzki-T. Hardaway Jr.-D. Powell-D. Finney-Smith-J. Brunson,20.0
201599-203084-1628467-1628973-1629029,D. Jordan-H. Barnes-M. Kleber-J. Brunson-L. Doncic,19.0
200826-201599-202083-1627827-1629029,J. Barea-D. Jordan-W. Matthews-D. Finney-Smith-L. Doncic,19.0
201599-202083-203084-1628467-1628973,D. Jordan-W. Matthews-H. Barnes-M. Kleber-J. Brunson,18.0
1717-2734-1627827-1628467-1629029,D. Nowitzki-D. Harris-D. Finney-Smith-M. Kleber-L. Doncic,18.0
1717-2734-203501-203939-1629029,D. Nowitzki-D. Harris-T. Hardaway Jr.-D. Powell-L. Doncic,17.0
203939-1627827-1628467-1628973-1629151,D. Powell-D. Finney-Smith-M. Kleber-J. Brunson-R. Broekhoff,17.0
200826-203939-1628467-1628973-1629151,J. Barea-D. Powell-M. Kleber-J. Brunson-R. Broekhoff,17.0
201584-203504-1626257-1627827-1628382,C. Lee-T. Burke-S. Mejri-D. Finney-Smith-J. Jackson,16.0
203501-1626257-1627827-1628382-1628973,T. Hardaway Jr.-S. Mejri-D. Finney-Smith-J. Jackson-J. Brunson,16.0
2734-200826-202083-203939-1628467,D. Harris-J. Barea-W. Matthews-D. Powell-M. Kleber,15.0
201599-1627827-1628467-1628973-1629151,D. Jordan-D. Finney-Smith-M. Kleber-J. Brunson-R. Broekhoff,15.0
1717-203501-203939-1627827-1629029,D. Nowitzki-T. Hardaway Jr.-D. Powell-D. Finney-Smith-L. Doncic,15.0
1627827-1628382-1628467-1628973-1629029,D. Finney-Smith-J. Jackson-M. Kleber-J. Brunson-L. Doncic,14.0
1717-2734-201584-203504-203939,D. Nowitzki-D. Harris-C. Lee-T. Burke-D. Powell,14.0
1717-2734-203939-1628973-1629151,D. Nowitzki-D. Harris-D. Powell-J. Brunson-R. Broekhoff,14.0
203084-1626257-1627827-1628467-1628973,H. Barnes-S. Mejri-D. Finney-Smith-M. Kleber-J. Brunson,14.0
2734-203504-1626257-1627827-1629133,D. Harris-T. Burke-S. Mejri-D. Finney-Smith-D. Macon,13.0
1717-201584-203504-203939-1629151,D. Nowitzki-C. Lee-T. Burke-D. Powell-R. Broekhoff,13.0
1626257-1628382-1628467-1628973-1629029,S. Mejri-J. Jackson-M. Kleber-J. Brunson-L. Doncic,13.0
1627827-1628467-1628973-1629029-1629151,D. Finney-Smith-M. Kleber-J. Brunson-L. Doncic-R. Broekhoff,12.0
2734-200826-1626257-1627827-1628467,D. Harris-J. Barea-S. Mejri-D. Finney-Smith-M. Kleber,12.0
201599-202083-1628372-1628467-1629029,D. Jordan-W. Matthews-D. Smith Jr.-M. Kleber-L. Doncic,12.0
201599-202083-1628467-1628973-1629029,D. Jordan-W. Matthews-M. Kleber-J. Brunson-L. Doncic,12.0
1717-2734-200826-1627827-1628467,D. Nowitzki-D. Harris-J. Barea-D. Finney-Smith-M. Kleber,12.0
1717-2734-203504-203939-1629029,D. Nowitzki-D. Harris-T. Burke-D. Powell-L. Doncic,12.0
200826-203939-1628467-1628973-1629029,J. Barea-D. Powell-M. Kleber-J. Brunson-L. Doncic,12.0
203501-203939-1627827-1628467-1629029,T. Hardaway Jr.-D. Powell-D. Finney-Smith-M. Kleber-L. Doncic,12.0
202083-203084-203939-1628372-1629029,W. Matthews-H. Barnes-D. Powell-D. Smith Jr.-L. Doncic,12.0
2734-1627827-1628382-1628467-1629029,D. Harris-D. Finney-Smith-J. Jackson-M. Kleber-L. Doncic,11.0
2734-203501-203939-1628467-1628973,D. Harris-T. Hardaway Jr.-D. Powell-M. Kleber-J. Brunson,11.0
1717-2734-203939-1629029-1629151,D. Nowitzki-D. Harris-D. Powell-L. Doncic-R. Broekhoff,11.0
1717-200826-203939-1627827-1629029,D. Nowitzki-J. Barea-D. Powell-D. Finney-Smith-L. Doncic,11.0
200826-201599-1627827-1628467-1629029,J. Barea-D. Jordan-D. Finney-Smith-M. Kleber-L. Doncic,11.0
200826-202083-203084-203939-1627827,J. Barea-W. Matthews-H. Barnes-D. Powell-D. Finney-Smith,11.0
201584-203939-1627827-1628382-1628973,C. Lee-D. Powell-D. Finney-Smith-J. Jackson-J. Brunson,10.0
2734-203084-203939-1627827-1628973,D. Harris-H. Barnes-D. Powell-D. Finney-Smith-J. Brunson,10.0
2734-200826-201599-203084-1627827,D. Harris-J. Barea-D. Jordan-H. Barnes-D. Finney-Smith,10.0
2734-200826-201599-203084-1629029,D. Harris-J. Barea-D. Jordan-H. Barnes-L. Doncic,10.0
2734-200826-203939-1628467-1628973,D. Harris-J. Barea-D. Powell-M. Kleber-J. Brunson,10.0
201599-1627827-1628372-1628467-1629029,D. Jordan-D. Finney-Smith-D. Smith Jr.-M. Kleber-L. Doncic,10.0
1717-201584-203504-1628382-1628467,D. Nowitzki-C. Lee-T. Burke-J. Jackson-M. Kleber,10.0
1717-2734-203501-203939-1628973,D. Nowitzki-D. Harris-T. Hardaway Jr.-D. Powell-J. Brunson,10.0
1717-1628382-1628467-1628973-1629029,D. Nowitzki-J. Jackson-M. Kleber-J. Brunson-L. Doncic,10.0
1717-203501-1626257-1627827-1628973,D. Nowitzki-T. Hardaway Jr.-S. Mejri-D. Finney-Smith-J. Brunson,10.0
1717-203501-203504-203939-1628973,D. Nowitzki-T. Hardaway Jr.-T. Burke-D. Powell-J. Brunson,10.0
203939-1628467-1628973-1629029-1629151,D. Powell-M. Kleber-J. Brunson-L. Doncic-R. Broekhoff,10.0
203939-1626257-1627827-1628973-1629151,D. Powell-S. Mejri-D. Finney-Smith-J. Brunson-R. Broekhoff,10.0
203939-1626257-1627827-1628467-1628973,D. Powell-S. Mejri-D. Finney-Smith-M. Kleber-J. Brunson,10.0
200826-201599-202083-1628467-1629029,J. Barea-D. Jordan-W. Matthews-M. Kleber-L. Doncic,10.0
200826-203084-203939-1627827-1629029,J. Barea-H. Barnes-D. Powell-D. Finney-Smith-L. Doncic,10.0
203501-1627827-1628382-1628467-1628973,T. Hardaway Jr.-D. Finney-Smith-J. Jackson-M. Kleber-J. Brunson,10.0
203501-203939-1627827-1628382-1628973,T. Hardaway Jr.-D. Powell-D. Finney-Smith-J. Jackson-J. Brunson,10.0
203501-1626257-1627827-1628467-1629029,T. Hardaway Jr.-S. Mejri-D. Finney-Smith-M. Kleber-L. Doncic,10.0
202083-203939-1628372-1628467-1628973,W. Matthews-D. Powell-D. Smith Jr.-M. Kleber-J. Brunson,10.0
2734-203939-1627827-1628973-1629151,D. Harris-D. Powell-D. Finney-Smith-J. Brunson-R. Broekhoff,9.0
2734-1626257-1627827-1628467-1628973,D. Harris-S. Mejri-D. Finney-Smith-M. Kleber-J. Brunson,9.0
201599-1627827-1628372-1628973-1629029,D. Jordan-D. Finney-Smith-D. Smith Jr.-J. Brunson-L. Doncic,9.0
1717-2734-203504-203939-1627827,D. Nowitzki-D. Harris-T. Burke-D. Powell-D. Finney-Smith,9.0
203501-203504-1626257-1627827-1629029,T. Hardaway Jr.-T. Burke-S. Mejri-D. Finney-Smith-L. Doncic,9.0
201584-203504-203939-1628382-1629151,C. Lee-T. Burke-D. Powell-J. Jackson-R. Broekhoff,8.0
201584-203504-1626257-1628467-1629151,C. Lee-T. Burke-S. Mejri-M. Kleber-R. Broekhoff,8.0
2734-201599-203084-1627827-1628372,D. Harris-D. Jordan-H. Barnes-D. Finney-Smith-D. Smith Jr.,8.0
2734-200826-203084-203939-1629029,D. Harris-J. Barea-H. Barnes-D. Powell-L. Doncic,8.0
200826-203084-203939-1627827-1628467,J. Barea-H. Barnes-D. Powell-D. Finney-Smith-M. Kleber,8.0
201584-1626257-1627827-1628382-1628973,C. Lee-S. Mejri-D. Finney-Smith-J. Jackson-J. Brunson,7.0
201584-203504-1626257-1627827-1629151,C. Lee-T. Burke-S. Mejri-D. Finney-Smith-R. Broekhoff,7.0
201584-203504-1626257-1628382-1629151,C. Lee-T. Burke-S. Mejri-J. Jackson-R. Broekhoff,7.0
2734-201599-203084-1627827-1629029,D. Harris-D. Jordan-H. Barnes-D. Finney-Smith-L. Doncic,7.0
1717-2734-201584-1629133-1629151,D. Nowitzki-D. Harris-C. Lee-D. Macon-R. Broekhoff,7.0
1717-2734-203939-1627827-1629151,D. Nowitzki-D. Harris-D. Powell-D. Finney-Smith-R. Broekhoff,7.0
1717-2734-203939-1628973-1629029,D. Nowitzki-D. Harris-D. Powell-J. Brunson-L. Doncic,7.0
1717-2734-203504-1627827-1628467,D. Nowitzki-D. Harris-T. Burke-D. Finney-Smith-M. Kleber,7.0
1717-2734-203504-1628467-1629151,D. Nowitzki-D. Harris-T. Burke-M. Kleber-R. Broekhoff,7.0
1717-202083-203939-1627827-1629029,D. Nowitzki-W. Matthews-D. Powell-D. Finney-Smith-L. Doncic,7.0
203939-1626257-1628467-1628973-1629151,D. Powell-S. Mejri-M. Kleber-J. Brunson-R. Broekhoff,7.0
203084-1627827-1628467-1628973-1629151,H. Barnes-D. Finney-Smith-M. Kleber-J. Brunson-R. Broekhoff,7.0
2734-201584-203504-1626257-1628467,D. Harris-C. Lee-T. Burke-S. Mejri-M. Kleber,6.0
2734-1627827-1628467-1629029-1629151,D. Harris-D. Finney-Smith-M. Kleber-L. Doncic-R. Broekhoff,6.0
2734-203939-1627827-1628382-1628973,D. Harris-D. Powell-D. Finney-Smith-J. Jackson-J. Brunson,6.0
2734-203084-203939-1628973-1629151,D. Harris-H. Barnes-D. Powell-J. Brunson-R. Broekhoff,6.0
2734-203084-203939-1628467-1628973,D. Harris-H. Barnes-D. Powell-M. Kleber-J. Brunson,6.0
2734-200826-203939-1627827-1629029,D. Harris-J. Barea-D. Powell-D. Finney-Smith-L. Doncic,6.0
2734-203504-203939-1627827-1629151,D. Harris-T. Burke-D. Powell-D. Finney-Smith-R. Broekhoff,6.0
1717-2734-203939-1628467-1629029,D. Nowitzki-D. Harris-D. Powell-M. Kleber-L. Doncic,6.0
1717-203504-203939-1629133-1629151,D. Nowitzki-T. Burke-D. Powell-D. Macon-R. Broekhoff,6.0
203939-1626257-1628382-1628973-1629029,D. Powell-S. Mejri-J. Jackson-J. Brunson-L. Doncic,6.0
200826-201599-203084-1628467-1629029,J. Barea-D. Jordan-H. Barnes-M. Kleber-L. Doncic,6.0
203504-203939-1628467-1628973-1629151,T. Burke-D. Powell-M. Kleber-J. Brunson-R. Broekhoff,6.0
203501-1626257-1628467-1628973-1629029,T. Hardaway Jr.-S. Mejri-M. Kleber-J. Brunson-L. Doncic,6.0
203501-203504-203939-1627827-1628973,T. Hardaway Jr.-T. Burke-D. Powell-D. Finney-Smith-J. Brunson,6.0
203501-203504-203939-1627827-1629029,T. Hardaway Jr.-T. Burke-D. Powell-D. Finney-Smith-L. Doncic,6.0
202083-203939-1627827-1628467-1628973,W. Matthews-D. Powell-D. Finney-Smith-M. Kleber-J. Brunson,6.0
202083-203084-203939-1628973-1629029,W. Matthews-H. Barnes-D. Powell-J. Brunson-L. Doncic,6.0
201584-203504-1628382-1628961-1629151,C. Lee-T. Burke-J. Jackson-K. Antetokounmpo-R. Broekhoff,5.0
201584-203501-1626257-1628382-1628973,C. Lee-T. Hardaway Jr.-S. Mejri-J. Jackson-J. Brunson,5.0
2734-201599-1627827-1628467-1628973,D. Harris-D. Jordan-D. Finney-Smith-M. Kleber-J. Brunson,5.0
2734-201599-203084-1627827-1628973,D. Harris-D. Jordan-H. Barnes-D. Finney-Smith-J. Brunson,5.0
2734-201599-203084-1628372-1629029,D. Harris-D. Jordan-H. Barnes-D. Smith Jr.-L. Doncic,5.0
2734-201599-1628467-1628973-1629029,D. Harris-D. Jordan-M. Kleber-J. Brunson-L. Doncic,5.0
2734-203939-1627827-1628382-1629029,D. Harris-D. Powell-D. Finney-Smith-J. Jackson-L. Doncic,5.0
2734-203939-1628382-1628467-1629029,D. Harris-D. Powell-J. Jackson-M. Kleber-L. Doncic,5.0
2734-203084-203939-1629029-1629151,D. Harris-H. Barnes-D. Powell-L. Doncic-R. Broekhoff,5.0
2734-200826-202083-203084-203939,D. Harris-J. Barea-W. Matthews-H. Barnes-D. Powell,5.0
2734-1626257-1627827-1629133-1629151,D. Harris-S. Mejri-D. Finney-Smith-D. Macon-R. Broekhoff,5.0
201599-1627827-1628467-1628973-1629029,D. Jordan-D. Finney-Smith-M. Kleber-J. Brunson-L. Doncic,5.0
